Country,Capital,Languages
 Georgia,Tbilisi,Georgian(Georgian alphabet)
 Germany,Berlin,German
 Ghana,Accra,EnglishAkanTwiEwe
 Gibraltar[2],Gibraltar,English
 Greece,Athens,Greek(Greek alphabet)
 Greenland[8],Nuuk,GreenlandicDanish
 Grenada,St. George's,English
 Guadeloupe[9],Basse-Terre,French
 Guam[1],Hagåtñaformerly Agaña,EnglishChamorro
 Guatemala,Guatemala City,Spanish
 Guernsey[11],Saint Peter Port,English
 Guinea,Conakry,"FrenchManinka, SusuPular"
 Guinea-Bissau,Bissau,Portuguese
 Guyana,Georgetown,English
 Haiti,Port-au-Prince,FrenchHaitian Creole
 Honduras,Tegucigalpa,Spanish
 Hong Kong[12],Hong Kong,EnglishCantonese(Traditional Chinese characters)
 Hungary,Budapest,Hungarian
 Iceland,Reykjavík,Icelandic
 India,New Delhi,Assamese(Assamese script)Bengali(Bengali script)EnglishGujarati(Gujarati script)Hindi(Devanagari script)Kannada(Kannada script)Konkani(Devanagari script)Malayalam(Malayalam script)Marathi(Devanagari script)Nepali(Devanagari script)Odia(Odia script)Punjabi(Gurmukhi script)Sanskrit(Devanagari script)Tamil(Tamil script)Telugu(Telugu script)
 Indonesia,Jakarta,Indonesian
 Iran,Tehran,Persian(Persian script)
 Iraq,Baghdad,Arabic(Arabic script)Kurdish
 Ireland,Dublin,IrishEnglish
 Isle of Man[11],Douglas,EnglishManx
 Israel,Jerusalem (declared)[a],Hebrew(Hebrew script)Arabic(Arabic script)
 Italy,Rome,Italian
 Jamaica,Kingston,English
 Japan,Tokyo,Japanese(Japanese characters)
 Jersey[11],St. Helier,EnglishFrenchJèrriais
 Jordan,Amman,Arabic(Arabic script)
 Kazakhstan,Astana,Kazakh(Cyrillic script)Russian(Cyrillic script)
 Kenya,Nairobi,"English, Swahili"
 Kiribati,Tarawa[13],"English, Gilbertese"
 North Korea,Pyongyang,Korean(Hangul/Hanja)
 South Korea,Seoul,Korean(Hangul/Hanja)
 Kosovo[14],Pristina,Albanian  Serbian (Latin)  Serbian (Cyrillic)
 Kuwait,Kuwait City,Arabic (Official)(Arabic script) Kuwaiti Gulf Arabic (native)(Arabic script)
 Kyrgyzstan,Bishkek,Kyrgyz(Cyrillic script)Russian(Cyrillic script)
 Laos,Vientiane,LaoLao alphabet
 Latvia,Riga,Latvian
 Lebanon,Beirut,"Arabic(Arabic script)
French
"
 Lesotho,Maseru,"Sesotho, English"
 Liberia,Monrovia,English
 Libya,Tripoli,Berber language(Tifinagh script)Arabic(Arabic script)
 Liechtenstein,Vaduz,German
 Lithuania,Vilnius,Lithuanian
 Luxembourg,Luxembourg,LuxembourgishGermanFrench
 Macau[12],Macau,Cantonese(Traditional Chinese characters)Portuguese
 Madagascar,Antananarivo,MalagasyFrench
 Malawi,Lilongwe,EnglishChichewa
 Malaysia,Kuala Lumpur,Malay
 Maldives,Malé,Dhivehi(Thaana script)
 Mali,Bamako,FrenchBambara
 Malta,Valletta,MalteseEnglish
 Marshall Islands,Majuro,English Marshallese
 Martinique[9],Fort-de-France,French
 Mauritania,Nouakchott,Berber language(Tifinagh script)Arabic(Arabic script)
 Mauritius,Port Louis,EnglishFrenchMauritian Creole
 Mayotte[9],Mamoudzou,FrenchShimaore
 Mexico,Mexico City,SpanishNahuatl
 Federated States of Micronesia,Palikir,English
 Moldova,Chișinău,Romanian
 Monaco,Monaco,FrenchMonégasque
 Mongolia,Ulaanbaatar,Mongolian(Cyrillic script)(Mongol script)
 Montenegro,Podgorica,Montenegrin
 Montserrat[2],Brades Estate[15],English
 Morocco,Rabat,Berber language(Tifinagh script)Arabic(Arabic script)
 Mozambique,Maputo,Portuguese
 Myanmar (or Burma),Naypyidaw,Burmese(Burmese alphabet)
 Namibia,Windhoek,EnglishGermanAfrikaansDamara/NamaHerero
 Nauru,Yaren (de facto)[16],EnglishNauruan
 Nepal,Kathmandu,Nepali(Devanagari script)
 Netherlands,Amsterdam,DutchWest Frisian
 New Caledonia[17],Nouméa,French
 New Zealand[18],Wellington,EnglishMāori
 Nicaragua,Managua,Spanish
 Niger,Niamey,French
 Nigeria,Abuja,EnglishHausaIgboYoruba
 Niue[7],Alofi,NiueanEnglish
 Norfolk Island[6],Kingston,EnglishNorfuk
 North Macedonia,Skopje,Macedonian(Cyrillic script)Albanian
 Northern Mariana Islands[1],Saipan,EnglishChamorro
 Norway,Oslo,Norwegian BokmålNorwegian NynorskNorthern SámiLule SámiSouthern Sámi
 Oman,Muscat,Arabic(Arabic script)
 Pakistan,Islamabad,EnglishUrdu(Arabic script [Nastaʿlīq hand])
 Palau,Ngerulmud,EnglishPalauan
 Palestine[14],East Jerusalem (declared)  Ramallah (administrative capital)[b],Arabic(Arabic script)
 Panama,Panama City,Spanish
 Papua New Guinea,Port Moresby,EnglishTok PisinHiri Motu
 Paraguay,Asunción,SpanishGuaraní
 Peru,Lima,SpanishQuechua/Aymara
 Philippines,Manila,FilipinoEnglish
 Pitcairn Islands[2],Adamstown,EnglishPitcairnese
 Poland,Warsaw,Polish
 Portugal,Lisbon,Portuguese
 Puerto Rico[1],San Juan,"English, Spanish"
 Qatar,Doha,Arabic(Arabic script)
 Réunion[9],Saint-Denis,French
 Romania,Bucharest,Romanian
 Russia,Moscow,Russian(Cyrillic script)
 Rwanda,Kigali,"French, Kinyarwanda, Swahili, English"
 Saba,The Bottom,Dutch
 Sahrawi Arab Democratic Republic[14],Laayoune,Arabic(Arabic script)SpanishFrench
 Saint Barthélemy[10],Gustavia,French
" Saint Helena, Ascension and Tristan da Cunha[2]",Jamestown,English
 Saint Kitts and Nevis,Basseterre,English
 Saint Martin[10],Marigot,French
 Saint Lucia,Castries,English
 Saint Pierre and Miquelon[10],Saint-Pierre,French
 Saint Vincent and the Grenadines,Kingstown,English
 Samoa,Apia,EnglishSamoan
 San Marino,San Marino,Italian
 São Tomé and Príncipe,São Tomé,Portuguese
 Saudi Arabia,Riyadh,Arabic(Arabic script)
 Senegal,Dakar,FrenchWolof
 Serbia,Belgrade,Serbian(Cyrillic script)
 Seychelles,Victoria,Seychellois CreoleFrenchEnglish
 Sierra Leone,Freetown,English
 Singapore,Singapore,MalayEnglishMandarin Chinese(Simplified Chinese characters)Tamil(Tamil script)
 Sint Maarten[3],Philipsburg,DutchEnglish
 Slovakia,Bratislava,Slovak
 Slovenia,Ljubljana,Slovene
 Solomon Islands,Honiara,EnglishNeo-Solomonic
 Somalia,Mogadishu,SomaliArabic(Arabic script)
 South Africa,"Pretoria (administrative capital), Cape Town (legislative capital), Bloemfontein, (judicial capital)",EnglishAfrikaansisiZuluisiXhosaPediSothoTswanaVendaTsongaSwaziNdebele
 South Sudan,Juba,EnglishSwahiliDinka
 Spain,Madrid,"Spanish, GalicianCatalanBasqueAranese, Galician (R)"
 Sri Lanka,Sri Jayawardenapura Kotte,SinhalaTamil
 Sint Eustatius,Oranjestad,DutchEnglish
 Sudan,Khartoum,Arabic(Arabic script)
 Suriname,Paramaribo,Dutch
 Svalbard[19],Longyearbyen,Norwegian
 Sweden,Stockholm,Swedish
 Switzerland,Bern (de facto)[16],GermanFrenchItalianRomansh
 Syria,Damascus,Arabic(Arabic script)
 Taiwan (Republic of China)[14],Taipei,Chinese(Traditional Chinese characters)
 Tajikistan,Dushanbe,Tajiki-Persian(Cyrillic)
 Tanzania,Dodoma,"English, Swahili"
 Thailand,Bangkok,Thai(Thai script)
 Togo,Lomé,FrenchEweKabiye
 Tokelau[20],,"English, Tokelauan"
 Tonga,Nukuʻalofa,"Tongan, English"
 Trinidad and Tobago,Port of Spain,English
 Tunisia,Tunis,Berber language(Tifinagh script)Arabic(Arabic script)
 Turkey,Ankara,Turkish
 Turkmenistan,Ashgabat,Turkmen
 Turks and Caicos Islands[2],Cockburn Town,English
 Tuvalu,Fongafale (in Funafuti),"English, Tuvaluan"
 Uganda,Kampala,"English, Swahili"
 Ukraine,Kyiv,Ukrainian(Cyrillic script)
 United Arab Emirates,Abu Dhabi,Arabic(Arabic script)
 United Kingdom,London,EnglishWelshScotsScots GaelicIrishCornish
 United States,"Washington, D.C.",EnglishSpanishCajun FrenchIndigenousHawaiian
 United States Virgin Islands[1],Charlotte Amalie,English
 Uruguay,Montevideo,Spanish
 Uzbekistan,Tashkent,Uzbek(Cyrillic script)
 Vanuatu,Port Vila,French
 Vatican City,Vatican City,LatinItalian
 Venezuela,Caracas,Spanish
 Vietnam,Hanoi,Vietnamese
 Wallis and Futuna[10],Mata Utu,FrenchWallisianFutunan
 Yemen,Sana'a,Arabic(Arabic script)
 Zambia,Lusaka,"English, Bemba, Chewa"
 Zimbabwe,Harare,"English, Shona"
